Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Year,Month,YearMonthDate,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed,DollarCostPointsRedeemed
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,6,2020-06-01,18,0,21436.0,2143,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,5,2020-05-01,9,3,20730.0,2073,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,5,2020-05-01,11,0,17087.0,1708,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,4,2020-04-01,4,0,22253.0,2225,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,4,2020-04-01,5,0,15262.0,1526,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,2,2020-02-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,3,2020-03-01,5,0,2219.0,221,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,3,2020-03-01,3,3,26404.0,2640,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,2,2020-02-01,4,3,22980.0,2298,3210,32.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,1,2020-01-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,1,2020-01-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,10,2021-10-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,11,2021-11-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,11,2021-11-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,6,2021-06-01,12,0,20771.0,2077,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,5,2021-05-01,11,1,26058.0,2605,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,5,2021-05-01,13,0,5627.0,562,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,12,2021-12-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,10,2021-10-01,10,0,17718.0,1771,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,12,2021-12-01,12,7,22888.0,2288,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,9,2021-09-01,8,2,19546.0,1954,2827,28.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,9,2021-09-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,8,2021-08-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,8,2021-08-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,6,2021-06-01,0,0,37873.0,3787,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,7,2021-07-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,4,2021-04-01,7,0,14249.0,1424,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,7,2021-07-01,19,8,30056.0,3005,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,4,2021-04-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,3,2021-03-01,5,5,21152.0,2115,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,3,2021-03-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,2,2021-02-01,9,2,11867.0,1186,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,2,2021-02-01,8,0,20331.0,2033,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,1,2021-01-01,2,0,2263.0,226,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2021,1,2021-01-01,0,0,0.0,0,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,12,2020-12-01,11,2,23077.0,2307,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,12,2020-12-01,13,0,28699.0,2869,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,11,2020-11-01,4,4,6821.0,682,3527,35.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,11,2020-11-01,7,0,13039.0,1303,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,10,2020-10-01,8,0,25668.0,2566,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,10,2020-10-01,2,2,3755.0,375,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,9,2020-09-01,15,2,9272.0,927,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,9,2020-09-01,6,6,14334.0,1433,0,0.0
193662,Leatrice,Hanlin,Leatrice Hanlin,Canada,Yukon,Whitehorse,60.721188,-135.05684,Y2K 6R0,male,Bachelor,Rural,26262.0,Married,Star,2015-05-07,,3844.57,Standard,2020,8,2020-08-01,12,0,12244.0,1224,0,0.0
